Date,Hr_End,RT_Demand,Dry_Bulb,Dew_Point,Dry_BulbSQ,Dew_PointSQ,Dry_BulbCube,Dew_PointCube
1/1/20,1,1080.18,32,30,1024,900,32768,27000
1/1/20,2,1034.73,34,27,1156,729,39304,19683
1/1/20,3,1005.34,34,26,1156,676,39304,17576
1/1/20,4,1000.61,33,24,1089,576,35937,13824
1/1/20,5,1011.07,31,24,961,576,29791,13824
1/1/20,6,1042.09,30,23,900,529,27000,12167
1/1/20,7,1090.27,30,23,900,529,27000,12167
1/1/20,8,1139.19,31,23,961,529,29791,12167
1/1/20,9,1203.33,30,23,900,529,27000,12167
1/1/20,10,1267.09,33,25,1089,625,35937,15625
1/1/20,11,1308.22,34,23,1156,529,39304,12167
1/1/20,12,1331.34,34,23,1156,529,39304,12167
1/1/20,13,1338.32,34,24,1156,576,39304,13824
1/1/20,14,1331.02,35,24,1225,576,42875,13824
1/1/20,15,1324.32,35,23,1225,529,42875,12167
1/1/20,16,1347.74,35,23,1225,529,42875,12167
1/1/20,17,1459.06,34,23,1156,529,39304,12167
1/1/20,18,1560.05,33,23,1089,529,35937,12167
1/1/20,19,1531.83,33,24,1089,576,35937,13824
1/1/20,20,1481.87,31,24,961,576,29791,13824
1/1/20,21,1408.93,32,23,1024,529,32768,12167
1/1/20,22,1307.77,32,24,1024,576,32768,13824
1/1/20,23,1197.83,32,24,1024,576,32768,13824
1/1/20,24,1112.27,31,23,961,529,29791,12167
1/2/20,1,1059.88,32,24,1024,576,32768,13824
1/2/20,2,1032.36,32,24,1024,576,32768,13824
1/2/20,3,1023.11,32,23,1024,529,32768,12167
1/2/20,4,1030.63,31,23,961,529,29791,12167
1/2/20,5,1078.75,29,22,841,484,24389,10648
1/2/20,6,1188.47,28,21,784,441,21952,9261
1/2/20,7,1357.77,27,20,729,400,19683,8000
1/2/20,8,1447.71,27,20,729,400,19683,8000
1/2/20,9,1465.09,23,19,529,361,12167,6859
1/2/20,10,1477.28,28,21,784,441,21952,9261
1/2/20,11,1477.67,31,21,961,441,29791,9261
1/2/20,12,1456.17,33,22,1089,484,35937,10648
1/2/20,13,1419.93,35,24,1225,576,42875,13824
1/2/20,14,1411.66,36,25,1296,625,46656,15625
1/2/20,15,1395.02,38,26,1444,676,54872,17576
1/2/20,16,1412.95,38,26,1444,676,54872,17576
1/2/20,17,1512.67,38,27,1444,729,54872,19683
1/2/20,18,1608.1,36,27,1296,729,46656,19683
1/2/20,19,1595.05,33,27,1089,729,35937,19683
1/2/20,20,1544.42,36,27,1296,729,46656,19683
1/2/20,21,1468.79,29,26,841,676,24389,17576
1/2/20,22,1358.57,30,26,900,676,27000,17576
1/2/20,23,1229.05,33,27,1089,729,35937,19683
1/2/20,24,1127.62,33,28,1089,784,35937,21952
1/3/20,1,1061.39,32,28,1024,784,32768,21952
1/3/20,2,1027.13,30,27,900,729,27000,19683
1/3/20,3,1011.71,30,26,900,676,27000,17576
1/3/20,4,1016.22,29,26,841,676,24389,17576
1/3/20,5,1052.5,30,27,900,729,27000,19683
1/3/20,6,1153.29,30,27,900,729,27000,19683
