Date,Hr_End,DA_Demand,RT_Demand,Dry_Bulb,Dew_Point
1-Jan-22,1,"1,005.60","1,042.18",34,34
1-Jan-22,2,985.4,994.7,35,34
1-Jan-22,3,930.9,964.33,35,35
1-Jan-22,4,912,951.08,35,35
1-Jan-22,5,917.7,953.03,36,34
1-Jan-22,6,950.3,978.35,34,34
1-Jan-22,7,952.9,"1,021.36",34,34
1-Jan-22,8,"1,031.20","1,078.34",34,34
1-Jan-22,9,"1,109.90","1,158.92",34,34
1-Jan-22,10,"1,261.30","1,249.88",35,34
1-Jan-22,11,"1,282.00","1,315.79",35,34
1-Jan-22,12,"1,315.20","1,353.00",35,35
1-Jan-22,13,"1,267.80","1,360.27",36,35
1-Jan-22,14,"1,243.40","1,348.30",36,36
1-Jan-22,15,"1,181.30","1,330.43",37,36
1-Jan-22,16,"1,229.20","1,332.83",37,37
1-Jan-22,17,"1,326.90","1,408.54",37,37
1-Jan-22,18,"1,368.80","1,457.18",36,36
1-Jan-22,19,"1,319.60","1,422.47",37,36
1-Jan-22,20,"1,269.20","1,360.92",35,35
1-Jan-22,21,"1,190.80","1,298.43",36,36
1-Jan-22,22,"1,095.50","1,224.32",35,35
1-Jan-22,23,"1,006.70","1,133.51",35,35
1-Jan-22,24,921,"1,051.69",35,35
2-Jan-22,1,919.8,990.92,36,36
2-Jan-22,2,897.7,954.78,35,35
2-Jan-22,3,874.7,936.82,36,34
2-Jan-22,4,836.3,930.57,36,36
2-Jan-22,5,848.5,939.75,35,35
2-Jan-22,6,861.7,970.53,35,35
2-Jan-22,7,898.3,"1,018.27",35,35
2-Jan-22,8,976.2,"1,087.48",35,35
2-Jan-22,9,"1,062.40","1,176.55",35,35
2-Jan-22,10,"1,156.80","1,256.65",35,35
2-Jan-22,11,"1,200.80","1,311.70",37,36
2-Jan-22,12,"1,220.20","1,355.83",37,37
2-Jan-22,13,"1,194.60","1,378.36",38,38
2-Jan-22,14,"1,199.90","1,376.28",38,36
2-Jan-22,15,"1,192.50","1,368.21",37,35
2-Jan-22,16,"1,246.40","1,372.95",37,34
2-Jan-22,17,"1,368.90","1,468.15",36,32
2-Jan-22,18,"1,494.10","1,537.60",35,29
2-Jan-22,19,"1,410.00","1,511.05",34,28
2-Jan-22,20,"1,358.00","1,458.95",33,26
2-Jan-22,21,"1,328.90","1,394.06",32,23
2-Jan-22,22,"1,205.20","1,312.37",29,19
2-Jan-22,23,"1,076.40","1,224.88",27,17
2-Jan-22,24,"1,017.20","1,153.52",26,17
3-Jan-22,1,994.6,"1,112.17",24,15
3-Jan-22,2,949.6,"1,089.41",23,13
3-Jan-22,3,961.7,"1,084.31",21,12
3-Jan-22,4,979.3,"1,099.55",20,10
3-Jan-22,5,"1,015.70","1,146.36",19,10
3-Jan-22,6,"1,145.70","1,246.56",19,8
3-Jan-22,7,"1,327.00","1,401.08",19,8
3-Jan-22,8,"1,456.70","1,501.81",18,7
3-Jan-22,9,"1,494.80","1,548.22",18,6
3-Jan-22,10,"1,533.10","1,579.21",19,7
3-Jan-22,11,"1,523.90","1,605.28",20,5
3-Jan-22,12,"1,530.10","1,620.18",20,6
3-Jan-22,13,"1,540.50","1,622.24",20,6
3-Jan-22,14,"1,518.80","1,622.47",21,7
3-Jan-22,15,"1,527.70","1,613.88",22,8
3-Jan-22,16,"1,535.80","1,626.14",22,8
3-Jan-22,17,"1,610.70","1,709.93",21,7
3-Jan-22,18,"1,734.90","1,783.11",20,7
3-Jan-22,19,"1,639.10","1,752.79",19,6
3-Jan-22,20,"1,587.50","1,693.16",19,5
3-Jan-22,21,"1,531.00","1,620.98",18,5
3-Jan-22,22,"1,456.00","1,512.32",17,4
3-Jan-22,23,"1,278.30","1,397.61",16,4
3-Jan-22,24,"1,163.40","1,311.44",15,2
4-Jan-22,1,"1,174.10","1,266.86",13,-1
4-Jan-22,2,"1,135.50","1,242.52",12,-2
4-Jan-22,3,"1,130.50","1,241.35",12,-2
4-Jan-22,4,"1,121.60","1,246.27",11,-2
4-Jan-22,5,"1,153.40","1,290.78",11,-3
4-Jan-22,6,"1,265.70","1,398.14",11,-3
4-Jan-22,7,"1,424.40","1,552.26",11,-3
4-Jan-22,8,"1,526.00","1,645.76",10,-3
4-Jan-22,9,"1,505.40","1,656.75",11,-2
4-Jan-22,10,"1,453.80","1,630.00",14,-3
4-Jan-22,11,"1,408.20","1,601.26",18,0
4-Jan-22,12,"1,414.80","1,574.66",20,0
4-Jan-22,13,"1,389.10","1,547.11",23,2
4-Jan-22,14,"1,382.90","1,533.64",26,4
4-Jan-22,15,"1,412.80","1,534.45",30,6
4-Jan-22,16,"1,437.60","1,568.09",31,9
4-Jan-22,17,"1,575.50","1,667.01",30,12
4-Jan-22,18,"1,637.80","1,762.37",28,13
4-Jan-22,19,"1,637.10","1,745.81",25,12
4-Jan-22,20,"1,585.80","1,685.90",24,12
4-Jan-22,21,"1,518.60","1,609.85",23,12
4-Jan-22,22,"1,405.30","1,505.83",24,12
4-Jan-22,23,"1,281.70","1,385.00",23,12
4-Jan-22,24,"1,187.90","1,303.87",22,12
5-Jan-22,1,"1,148.30","1,244.07",23,12
5-Jan-22,2,"1,092.60","1,212.69",22,13
5-Jan-22,3,"1,096.40","1,206.30",22,13
5-Jan-22,4,"1,104.00","1,199.68",23,14
5-Jan-22,5,"1,109.90","1,231.71",22,14
5-Jan-22,6,"1,223.40","1,327.92",22,15
5-Jan-22,7,"1,294.60","1,466.02",21,16
5-Jan-22,8,"1,434.20","1,557.60",22,17
5-Jan-22,9,"1,467.10","1,585.91",25,21
5-Jan-22,10,"1,445.10","1,594.52",27,22
5-Jan-22,11,"1,467.50","1,598.88",27,25
5-Jan-22,12,"1,470.30","1,606.56",30,29
5-Jan-22,13,"1,444.30","1,590.96",31,30
5-Jan-22,14,"1,433.80","1,578.47",33,32
5-Jan-22,15,"1,380.70","1,552.02",36,35
5-Jan-22,16,"1,419.00","1,549.18",37,36
5-Jan-22,17,"1,496.50","1,614.05",37,36
5-Jan-22,18,"1,504.10","1,664.81",37,36
5-Jan-22,19,"1,454.00","1,625.13",35,34
5-Jan-22,20,"1,405.40","1,553.71",33,32
5-Jan-22,21,"1,337.10","1,474.58",34,33
5-Jan-22,22,"1,218.80","1,371.74",35,34
5-Jan-22,23,"1,092.10","1,260.85",29,28
5-Jan-22,24,"1,013.20","1,167.77",28,27
6-Jan-22,1,"1,030.40","1,111.63",28,27
6-Jan-22,2,994.9,"1,082.04",27,26
6-Jan-22,3,"1,004.50","1,068.43",27,26
6-Jan-22,4,"1,022.80","1,076.70",28,26
6-Jan-22,5,"1,035.70","1,116.47",25,24
6-Jan-22,6,"1,118.60","1,218.95",24,22
6-Jan-22,7,"1,241.60","1,367.50",27,27
6-Jan-22,8,"1,354.50","1,459.06",25,23
6-Jan-22,9,"1,395.20","1,477.88",28,25
6-Jan-22,10,"1,371.40","1,465.34",34,23
