Date,Hr_End,DA_Demand,RT_Demand,Dry_Bulb,Dew_Point
1-Jan-21,1,"1,066.20","1,142.19",26,18
1-Jan-21,2,"1,025.10","1,096.23",27,17
1-Jan-21,3,982.5,"1,069.37",27,18
1-Jan-21,4,988.8,"1,067.58",28,18
1-Jan-21,5,986.4,"1,072.91",25,17
1-Jan-21,6,"1,035.00","1,111.41",27,17
1-Jan-21,7,"1,073.20","1,163.58",23,15
1-Jan-21,8,"1,131.90","1,213.13",23,16
1-Jan-21,9,"1,203.10","1,261.56",22,15
1-Jan-21,10,"1,239.60","1,293.95",28,18
1-Jan-21,11,"1,258.10","1,311.29",31,17
1-Jan-21,12,"1,306.10","1,315.13",33,17
1-Jan-21,13,"1,324.80","1,321.46",34,17
1-Jan-21,14,"1,320.80","1,324.31",35,17
1-Jan-21,15,"1,336.30","1,332.19",35,17
1-Jan-21,16,"1,403.50","1,366.57",35,17
1-Jan-21,17,"1,497.30","1,473.54",33,17
1-Jan-21,18,"1,556.50","1,553.65",31,17
1-Jan-21,19,"1,513.50","1,521.12",31,18
1-Jan-21,20,"1,456.40","1,454.77",31,19
1-Jan-21,21,"1,401.50","1,386.24",31,19
1-Jan-21,22,"1,305.60","1,305.49",31,19
1-Jan-21,23,"1,186.30","1,214.32",31,19
1-Jan-21,24,"1,066.10","1,147.28",31,19
2-Jan-21,1,"1,081.60","1,091.63",28,25
2-Jan-21,2,"1,039.60","1,048.30",28,26
2-Jan-21,3,"1,050.90","1,027.49",29,26
2-Jan-21,4,"1,035.80","1,017.94",29,26
2-Jan-21,5,"1,016.20","1,024.98",30,28
2-Jan-21,6,"1,042.20","1,060.95",32,29
2-Jan-21,7,"1,090.00","1,118.09",33,30
2-Jan-21,8,"1,186.40","1,174.20",33,31
2-Jan-21,9,"1,265.90","1,260.48",33,31
2-Jan-21,10,"1,350.20","1,346.05",33,31
2-Jan-21,11,"1,415.50","1,388.27",33,31
2-Jan-21,12,"1,474.20","1,407.34",33,31
2-Jan-21,13,"1,484.70","1,390.72",33,31
2-Jan-21,14,"1,438.40","1,366.11",34,32
2-Jan-21,15,"1,414.10","1,346.63",35,32
2-Jan-21,16,"1,443.00","1,362.86",38,33
2-Jan-21,17,"1,564.00","1,463.25",37,30
2-Jan-21,18,"1,608.80","1,551.10",36,28
2-Jan-21,19,"1,537.90","1,520.72",35,27
2-Jan-21,20,"1,475.10","1,461.44",34,26
2-Jan-21,21,"1,395.30","1,394.38",32,24
2-Jan-21,22,"1,323.60","1,321.04",31,22
2-Jan-21,23,"1,221.30","1,233.91",29,21
2-Jan-21,24,"1,127.70","1,155.19",29,21
3-Jan-21,1,"1,041.60","1,097.15",28,21
3-Jan-21,2,"1,009.80","1,063.76",27,21
3-Jan-21,3,"1,006.70","1,049.38",24,21
3-Jan-21,4,"1,000.80","1,046.41",22,19
3-Jan-21,5,996.4,"1,061.99",21,18
3-Jan-21,6,"1,050.80","1,102.23",20,18
